phylum	SharkBay_Columnar_Stromatolite	SharkBay_Pastular	SharkBay_Smooth	Highborne_Stromatolite	Highborne_ThrA	Highborne_ThrB	Highborne_ThrC	Highborne_MatType1	Highborne_MatType3
Elusimicrobia	8	46	33	0	0	0	0	5	6
Verrucomicrobia	669	3104	1221	4	111	117	127	107	124
Bacteroidetes	11976	16685	5848	34	6497	6543	6812	1274	1265
Aquificae	92	379	185	1	22	11	14	25	34
Actinobacteria	1626	7232	2402	76	283	249	270	148	160
Chlorobi	556	1152	579	2	103	136	117	73	71
Poribacteria	25	99	29	0	5	6	4	1	3
Deferribacteres	143	275	144	0	12	20	19	23	34
Chrysiogenetes	0	129	66	0	3	4	6	8	8
Tenericutes	38	26	18	0	6	2	7	11	15
Lentisphaerae	78	387	209	3	8	17	18	12	23
Nitrospirae	99	418	182	0	10	12	17	22	19
Dictyoglomi	35	128	95	1	4	5	4	0	7
Thaumarchaeota	150	135	24	0	8	0	5	4	6
Deinococcus-Thermus	373	1218	545	0	63	49	49	29	29
Unclassified Bacteria	125	470	239	0	8	9	8	16	13
Gemmatimonadetes	23	679	98	0	14	12	6	4	13
Acidobacteria	668	1904	538	3	66	64	61	44	52
Spirochaetes	150	1527	1294	2	34	41	52	173	200
Firmicutes	6735	9318	5112	40	455	492	416	556	667
Chloroflexi	1192	7666	5666	2	188	182	189	251	119
Planctomycetes	1607	7385	1757	8	87	83	94	131	147
Fusobacteria	176	226	154	3	7	24	20	37	38
Synergistetes	55	367	249	0	8	8	7	11	19
Proteobacteria	91340	70087	25516	1095	2942	3182	2965	2964	3121
Chlamydiae	1135	429	104	4	19	18	18	45	58
Cyanobacteria	25511	8014	4748	159	30239	30496	30718	3550	4112
Thermotogae	56	405	281	0	12	11	12	30	30
Fibrobacteres	13	60	33	0	5	3	9	5	3
